 cell_number  status_t2p status_s2p
         436           1      2 / 3
         437           1      1 / 3
         438           1      3 / 3
         439           1      3 / 3
         440           1      2 / 3
         441           1      2 / 3
         442           1      3 / 3
         443           1      3 / 3
         444           1      2 / 3
         445           1      3 / 3
         446           1      3 / 3
         447           1      3 / 3
         448           1      2 / 3
         449           1      2 / 3
         450           1      3 / 3
         451           1      3 / 3
         452           1      3 / 3
         453           1      3 / 3
         454           1      2 / 3
         455           1      3 / 3
         456           1      2 / 3
         457           1      2 / 3
         458           1      3 / 3
         459           1      3 / 3
         460           1      3 / 3
         461           1      3 / 3
         462           1      3 / 3
         463           1      3 / 3
         464           1      3 / 3
         465           1      3 / 3
         466           1      3 / 3
         467           1      3 / 3
         468           1      1 / 3
         469           1      3 / 3
         470           1      3 / 3
         471           1      3 / 3
         472           1      2 / 3
         473           1      3 / 3
         474           1      2 / 3
         475           1      2 / 3
         476           1      2 / 3
         477           1      2 / 3
         478           1      2 / 3
         479           1      1 / 3
         480           1      3 / 3
         481           1      2 / 3
         482           1      3 / 3
         483           1      2 / 3
         484           1      2 / 3
